Price,Date
99900,01-01-2020
93999,02-01-2020
93999,03-01-2020
93999,04-01-2020
93999,05-01-2020
93999,06-01-2020
93999,07-01-2020
93999,08-01-2020
69999,09-01-2020
,10-01-2020
,11-01-2020
,12-01-2020
99900,13-01-2020
72999,14-01-2020
99900,15-01-2020
99900,16-01-2020
99900,17-01-2020
89900,18-01-2020
89900,19-01-2020
89900,20-01-2020
89900,21-01-2020
89900,22-01-2020
,23-01-2020
99900,24-01-2020
99900,25-01-2020
99900,26-01-2020
99900,27-01-2020
99900,28-01-2020
99900,29-01-2020
99900,30-01-2020
99900,31-01-2020
99900,01-02-2020
99900,02-02-2020
99900,03-02-2020
99900,04-02-2020
99900,05-02-2020
99900,06-02-2020
99900,07-02-2020
99900,08-02-2020
99900,09-02-2020
99900,10-02-2020
94900,11-02-2020
94900,12-02-2020
94900,13-02-2020
94900,14-02-2020
94900,15-02-2020
94900,16-02-2020
,17-02-2020
99900,18-02-2020
99900,19-02-2020
96900,20-02-2020
96900,21-02-2020
96900,22-02-2020
,23-02-2020
99900,24-02-2020
99900,25-02-2020
99900,26-02-2020
99900,27-02-2020
99900,28-02-2020
99900,29-02-2020
99900,01-03-2020
99900,02-03-2020
,03-03-2020
92900,04-03-2020
,05-03-2020
,06-03-2020
,07-03-2020
,08-03-2020
,09-03-2020
,10-03-2020
,11-03-2020
,12-03-2020
,13-03-2020
,14-03-2020
,15-03-2020
,16-03-2020
,17-03-2020
,18-03-2020
,19-03-2020
,20-03-2020
,21-03-2020
,22-03-2020
,23-03-2020
,24-03-2020
,25-03-2020
,26-03-2020
,27-03-2020
,28-03-2020
,29-03-2020
,30-03-2020
,31-03-2020
,01-04-2020
,02-04-2020
,03-04-2020
,04-04-2020
,05-04-2020
,06-04-2020
,07-04-2020
,08-04-2020
,09-04-2020
,10-04-2020
,11-04-2020
,12-04-2020
,13-04-2020
,14-04-2020
,15-04-2020
,16-04-2020
,17-04-2020
,18-04-2020
,19-04-2020
,20-04-2020
,21-04-2020
,22-04-2020
,23-04-2020
,24-04-2020
,25-04-2020
,26-04-2020
,27-04-2020
,28-04-2020
,29-04-2020
,30-04-2020
,01-05-2020
,02-05-2020
,03-05-2020
,04-05-2020
,05-05-2020
,06-05-2020
,07-05-2020
,08-05-2020
,09-05-2020
,10-05-2020
,11-05-2020
,12-05-2020
,13-05-2020
,14-05-2020
,15-05-2020
,16-05-2020
,17-05-2020
,18-05-2020
,19-05-2020
,20-05-2020
,21-05-2020
,22-05-2020
,23-05-2020
,24-05-2020
,25-05-2020
,26-05-2020
,27-05-2020
,28-05-2020
,29-05-2020
,30-05-2020
,31-05-2020
,01-06-2020
69900,02-06-2020
69900,03-06-2020
69900,04-06-2020
69900,05-06-2020
69900,06-06-2020
69900,07-06-2020
69900,08-06-2020
69900,09-06-2020
69900,10-06-2020
69900,11-06-2020
69900,12-06-2020
69900,13-06-2020
69900,14-06-2020
68900,15-06-2020
69900,16-06-2020
69900,17-06-2020
69900,18-06-2020
69900,19-06-2020
69900,20-06-2020
69900,21-06-2020
69900,22-06-2020
69900,23-06-2020
69900,24-06-2020
69900,25-06-2020
69900,26-06-2020
69900,27-06-2020
69900,28-06-2020
69900,29-06-2020
69900,30-06-2020
69900,01-07-2020
69900,02-07-2020
69900,03-07-2020
69900,04-07-2020
69900,05-07-2020
69900,06-07-2020
69900,07-07-2020
69900,08-07-2020
69900,09-07-2020
69900,10-07-2020
69900,11-07-2020
69900,12-07-2020
69900,13-07-2020
69900,14-07-2020
69900,15-07-2020
69900,16-07-2020
68900,17-07-2020
68900,18-07-2020
68900,19-07-2020
68900,20-07-2020
68900,21-07-2020
69900,22-07-2020
69900,23-07-2020
68900,24-07-2020
,25-07-2020
,26-07-2020
99900,27-07-2020
,28-07-2020
79900,29-07-2020
,30-07-2020
99900,31-07-2020
99900,01-08-2020
99900,02-08-2020
99900,03-08-2020
99900,04-08-2020
99900,05-08-2020
99900,06-08-2020
99900,07-08-2020
99900,08-08-2020
79799,09-08-2020
,10-08-2020
99900,11-08-2020
79699,12-08-2020
79699,13-08-2020
79699,14-08-2020
,15-08-2020
,16-08-2020
6999,17-08-2020
69900,18-08-2020
69900,19-08-2020
69900,20-08-2020
69900,21-08-2020
69900,22-08-2020
,23-08-2020
,24-08-2020
,25-08-2020
113900,26-08-2020
,27-08-2020
69900,28-08-2020
93906,29-08-2020
93906,30-08-2020
93906,31-08-2020
93906,01-09-2020
93906,02-09-2020
113771,03-09-2020
,04-09-2020
,05-09-2020
,06-09-2020
,07-09-2020
,08-09-2020
131900,09-09-2020
113539,10-09-2020
113539,11-09-2020
113539,12-09-2020
113539,13-09-2020
113539,14-09-2020
113539,15-09-2020
113539,16-09-2020
113539,17-09-2020
113539,18-09-2020
113539,19-09-2020
113539,20-09-2020
113539,21-09-2020
113539,22-09-2020
113539,23-09-2020
113539,24-09-2020
113539,25-09-2020
113539,26-09-2020
113539,27-09-2020
113539,28-09-2020
113539,29-09-2020
113539,30-09-2020
113539,01-10-2020
113539,02-10-2020
113539,03-10-2020
113539,04-10-2020
,05-10-2020
,06-10-2020
131900,07-10-2020
99605,08-10-2020
,09-10-2020
84860,10-10-2020
,11-10-2020
113539,12-10-2020
,13-10-2020
84860,14-10-2020
84860,15-10-2020
84860,16-10-2020
84860,17-10-2020
,18-10-2020
131900,19-10-2020
,20-10-2020
131900,21-10-2020
131900,22-10-2020
84860,23-10-2020
,24-10-2020
,25-10-2020
113900,26-10-2020
,27-10-2020
,28-10-2020
,29-10-2020
,30-10-2020
,31-10-2020
,01-11-2020
,02-11-2020
131900,03-11-2020
131900,04-11-2020
131900,05-11-2020
131900,06-11-2020
,07-11-2020
,08-11-2020
,09-11-2020
,10-11-2020
,11-11-2020
,12-11-2020
,13-11-2020
,14-11-2020
,15-11-2020
,16-11-2020
,17-11-2020
,18-11-2020
99315,19-11-2020
,20-11-2020
,21-11-2020
99315,22-11-2020
99315,23-11-2020
,24-11-2020
,25-11-2020
,26-11-2020
,27-11-2020
,28-11-2020
,29-11-2020
,30-11-2020
,01-12-2020
,02-12-2020
,03-12-2020
,04-12-2020
,05-12-2020
,06-12-2020
,07-12-2020
,08-12-2020
,09-12-2020
,10-12-2020
113095,11-12-2020
113095,12-12-2020
113095,13-12-2020
113095,14-12-2020
113095,15-12-2020
113095,16-12-2020
113095,17-12-2020
113095,18-12-2020
113095,19-12-2020
113095,20-12-2020
113095,21-12-2020
113095,22-12-2020
113095,23-12-2020
113095,24-12-2020
113095,25-12-2020
113095,26-12-2020
113095,27-12-2020
113095,28-12-2020
113095,29-12-2020
113095,30-12-2020
113095,31-12-2020
113095,01-01-2021
113095,02-01-2021
113095,03-01-2021
113095,04-01-2021
113095,05-01-2021
113095,06-01-2021
113095,07-01-2021
113095,08-01-2021
113095,09-01-2021
113095,10-01-2021
113095,11-01-2021
113095,12-01-2021
113095,13-01-2021
113095,14-01-2021
113095,15-01-2021
113095,16-01-2021
113095,17-01-2021
113095,18-01-2021
113095,19-01-2021
113095,20-01-2021
113095,21-01-2021
113095,22-01-2021
113095,23-01-2021
113095,24-01-2021
113095,25-01-2021
113095,26-01-2021
113095,27-01-2021
113095,28-01-2021
,29-01-2021
,30-01-2021
,31-01-2021
,01-02-2021
84616,02-02-2021
